unit	sample	reads	id	PU
TESTSTESTS	SRR31239653	data/workshop_Jan_2025/SRR31239653_1.fastq.gz	1	TESTSTESTS
TESTSTESTS	SRR31239653	data/workshop_Jan_2025/SRR31239653_2.fastq.gz	2	TESTSTESTS
